dedo1,dedo2,dedo3,dedo4,dedo5,mano
1647.92,1009.53,3661.91,1469.48,1830.84,3737.14
1579.53,1086.82,3693.53,1524.18,1758.08,3808.71
1529.43,988.86,3502.22,1615.15,1654.06,3865.97
1565.34,1271.89,3410.58,1676.12,1546.05,3911.77
1537.07,1209.51,3352.46,1767.09,1503.64,3948.42
1463.06,1162.81,3219.57,1797.48,1503.71,3977.73
1468.05,1108.05,3139.26,1841.38,1710.37,4001.19
1464.64,1110.04,2983.8,1837.9,1667.9,4019.95
1418.51,1137.03,2815.64,1887.52,1666.52,4034.96
1389.61,1128.22,2721.11,1877.02,1646.81,4046.97
1402.89,1155.38,2606.69,1856.61,1666.25,4056.57
1409.11,1283.1,2440.95,1886.49,1937.4,4064.26
1444.09,1317.68,2348.96,1912.39,2049.12,4070.41
1383.87,1374.15,2355.97,1885.31,1894.7,4075.33
1381.3,1486.52,2181.18,1931.25,1992.56,4079.26
1396.64,1553.81,2182.34,1897.2,1910.65,4082.41
1435.91,1532.85,2094.67,1896.76,1843.12,4084.93
1559.53,1620.28,2061.94,1860.41,1984.29,4086.94
1651.62,1619.82,1944.95,1922.13,1851.23,4088.55
1619.9,1665.86,1953.96,1850.7,2249.39,4089.84
1747.72,1652.69,1869.97,1955.96,2158.11,4090.87
1779.97,1700.75,1844.17,2009.57,2545.49,4091.7
1924.18,1728.2,1756.94,2007.66,2685.39,4092.36
2269.14,1799.16,1681.95,2207.92,2967.31,4092.89
2478.11,1878.33,1604.56,2354.74,3023.45,4093.31
2640.49,1924.26,1536.45,2643.99,2876.36,4093.65
2921.99,1964.61,1604.56,2934.19,3120.09,4093.92
3156.59,1951.49,1533.05,2933.55,3315.07,4094.13
3344.28,1979.79,1483.64,2691.84,3359.06,4094.31
3494.42,2017.23,1363.31,2558.08,3416.65,4094.45
3481.74,2033.19,1778.45,2393.06,3368.72,4094.56
3435.39,2063.55,1630.76,2216.65,3353.97,4094.65
3567.31,2112.24,1647.01,2090.12,3269.18,4094.72
3672.85,2241.39,1535.21,2059.09,3321.14,4094.77
3757.28,2581.71,1481.16,1998.08,3441.51,4094.82
3824.82,2868.97,1422.93,1959.06,3572.21,4094.85
3878.86,3114.18,1445.35,1887.05,3363.57,4094.88
3922.09,3310.34,1685.48,1824.04,3441.86,4094.91
3956.67,3371.67,1442.58,1827.03,3572.48,4094.93
3984.34,3457.14,1371.46,1809.82,3478.19,4094.94
4006.47,3468.51,1282.97,1828.86,3483.35,4094.95
4024.17,3583.81,1245.98,1835.49,3605.68,4094.96
4038.34,3595.25,1191.98,1881.59,3703.54,4094.97
4049.67,3695.2,1101.39,1863.67,3781.84,4094.98
4058.74,3590.56,1002.31,1874.34,3748.87,4094.98
4065.99,3691.45,910.05,1883.67,3753.69,4094.98
4071.79,3772.16,881.24,1983.74,3821.96,4094.99
4076.43,3836.73,866.19,2098.79,3876.56,4094.99
4080.15,3888.38,771.15,2202.63,3920.25,4094.99
4083.12,3929.7,716.92,2327.9,3955.2,4094.99
4085.49,3962.76,745.94,2353.92,3892.76,4094.99
4087.4,3989.21,706.75,2474.14,3933.21,4095.0
4088.92,4010.37,631.4,2471.91,3965.57,4095.0
4047.73,4027.29,614.52,2565.13,3991.45,4095.0
4057.19,4040.84,646.62,2580.1,4012.16,4095.0
4064.75,4051.67,642.29,2569.08,4028.73,4095.0
4070.8,4060.33,626.63,2483.47,4041.98,4095.0
4075.64,3987.87,676.91,2351.97,4052.59,4095.0
4079.51,4003.49,693.33,2308.98,4061.07,4095.0
4082.61,3806.2,670.46,2242.58,4067.86,4095.0
4085.09,3565.36,673.77,2266.67,4073.28,4095.0
4087.07,3424.89,675.01,2383.33,4077.63,4095.0
4088.66,3274.31,677.61,2468.47,4081.1,4095.0
3942.72,3177.65,636.29,2503.17,4083.88,4095.0
3973.18,3044.72,588.83,2639.34,4086.11,4095.0
3856.34,2947.57,634.87,2804.47,4087.88,4095.0
3904.07,2930.46,621.89,2864.38,4089.31,4095.0
3942.26,2893.77,648.71,3110.5,4090.45,4095.0
3972.81,3047.21,661.17,3170.6,4091.36,4095.0
3997.25,2953.57,641.14,3179.48,4092.09,4095.0
4016.8,2946.46,683.11,3362.58,4092.67,4095.0
4032.44,2954.57,636.09,3509.07,4093.13,4095.0
4044.95,3036.25,696.47,3626.25,4093.51,4095.0
4036.36,3248.0,892.98,3564.6,4093.81,4095.0
4048.09,3417.4,928.78,3670.68,4094.04,4095.0
4047.67,3425.12,935.82,3755.55,4094.24,4095.0
4057.14,3559.1,880.66,3823.44,4094.39,4095.0
4064.71,3666.28,816.53,3855.95,4094.51,4095.0
4070.77,3752.02,889.62,3903.76,4094.61,4095.0
4037.41,3820.62,872.9,3942.01,4094.69,4095.0
4033.13,3875.49,819.72,3972.61,4094.75,4095.0
4045.5,3919.4,779.57,3901.68,4094.8,4095.0
4055.4,3954.52,780.06,3940.35,4094.84,4095.0
4063.32,3982.61,735.05,3928.48,4094.87,4095.0
4069.66,3899.89,721.04,3961.78,4094.9,4095.0
4074.73,3721.31,702.03,3988.43,4094.92,4095.0
4078.78,3514.65,598.22,4009.74,4094.93,4095.0
4082.03,3268.32,594.78,4026.79,4094.95,4095.0
4084.62,3121.26,495.22,4040.43,4094.96,4074.0
4086.7,3046.8,450.38,4051.35,4094.97,4078.2
3919.36,3147.64,602.1,3890.28,4094.97,4081.56
3849.09,3250.92,625.28,3931.22,4094.98,4084.25
3723.47,3419.73,574.83,3963.98,4094.98,4086.4
3797.77,3430.19,560.06,3839.38,4094.99,4088.12
3857.22,3563.15,500.65,3890.51,4094.99,4089.49
3882.58,3669.52,441.12,3931.4,4094.99,4090.6
3925.06,3754.61,387.1,3964.12,4094.99,4091.48
3959.05,3822.69,336.08,3990.3,4094.99,4092.18
3986.24,3701.35,289.46,4011.24,4095.0,4092.75
4007.99,3780.08,259.37,3984.59,4095.0,4093.2
4025.39,3843.07,234.09,3986.67,4095.0,4093.56
4039.31,3893.45,209.88,3946.34,4095.0,4093.85
4050.45,3933.76,229.3,3976.07,4095.0,4094.08
4059.36,3966.01,223.84,3983.46,4049.0,4094.26
4066.49,3991.81,214.87,3868.17,4058.2,4094.41
4072.19,4012.45,244.3,3913.53,4065.56,4094.53
4076.75,4028.96,237.04,3882.63,4071.45,4094.62
4080.4,4042.17,196.03,3925.1,4076.16,4094.7
4083.32,4052.73,299.02,3959.08,4079.93,4094.76
